,Series Name,Description,Frequency,Start,End
69,FR102000115.Q,Nonfinancial corporate business; total assets at historical cost,Q,12-31-1946,09-30-2014
70,FR403063095.Q,"Government-sponsored enterprises; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset",Q,12-31-1946,09-30-2014
71,FU113165505.Q,Nonfinancial noncorporate business; commercial mortgages; liability,Q,12-31-1946,09-30-2014
72,FU113169005.A,Nonfinancial noncorporate business; other loans and advances; liability,A,12-31-1946,12-31-2013
73,FL105013715.Q,"Nonfinancial corporate business; nonresidential intellectual property products, historical cost basis",Q,12-31-1945,09-30-2014
74,FA642150073.Q,Mortgage real estate investment trusts; security repurchase agreements; liability,Q,12-31-1946,09-30-2014
75,FR363070005.Q,General government (consolidated); trade receivables; asset,Q,12-31-1946,09-30-2014
76,FL713061113.Q,Monetary authority; Treasury bills; asset,Q,12-31-1945,09-30-2014
77,FR213081205.A,"State and local governments, excluding employee retirement funds; Mutual fund and money market fund shares; asset",A,12-31-1946,12-31-2013
78,FA805000005.A,Other financial intermediaries except insurance companies and pension funds; net lending (+) or borrowing (-) (financial account),A,12-31-1946,12-31-2013
79,FL212100005.A,"State and local governments, excluding employee retirement funds; total liabilities and net worth (IMA)",A,12-31-1945,12-31-2013
80,FL103030003.Q,Nonfinancial corporate business; total time and savings deposits; asset,Q,12-31-1945,09-30-2014
81,FA104090005.Q,Nonfinancial corporate business; total financial assets,Q,12-31-1946,09-30-2014
82,FA213096005.Q,"State and local governments, excluding employee retirement funds; other accounts receivable; asset (IMA)",Q,12-31-1946,09-30-2014
83,FA713068303.A,Monetary authority; depository institution loans n.e.c. to households (Term Asset-Backed Securities Loan Facility); asset,A,12-31-1946,12-31-2013
84,FR214104005.A,"State and local governments, excluding employee retirement funds; credit market instruments; liability",A,12-31-1946,12-31-2013
85,FL343061105.A,Federal government retirement funds; Treasury securities; asset,A,12-31-1945,12-31-2013
86,FR263168485.A,Rest of the world; depository institution loans n.e.c. to foreigners other than foreign official institutions and foreign banks; liability,A,12-31-1946,12-31-2013
87,FL713061100.Q,Monetary authority; Treasury securities; asset,Q,12-31-1945,09-30-2014
88,FR144190005.A,Nonfinancial business; total liabilities ,A,12-31-1946,12-31-2013
89,FR263168005.Q,Rest of the world; depository institution loans n.e.c.; liability,Q,12-31-1946,09-30-2014
90,FL643193005.A,Real estate investment trusts; unidentified miscellaneous liabilities,A,12-31-1945,12-31-2013
91,FL633069175.A,Money market mutual funds; open market paper; asset,A,12-31-1945,12-31-2013
92,FA213093003.Q,"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets",Q,12-31-1946,09-30-2014
93,FA796121101.Q,Financial business; dividends received (IMA),Q,12-31-1946,09-30-2014
94,FR763092405.A,U.S.-chartered depository institutions; equity in FHLB; asset,A,12-31-1946,12-31-2013
95,FL143030205.Q,Nonfinancial business; Other deposits including time and savings deposits; asset (IMA),Q,12-31-1945,09-30-2014
96,FR403061705.Q,Government-sponsored enterprises; agency- and GSE-backed securities; asset,Q,12-31-1946,09-30-2014
97,FR403063605.A,Government-sponsored enterprises; mortgage-backed securities and other asset-backed bonds; asset,A,12-31-1946,12-31-2013
98,FR263169005.A,Rest of the world; other loans and advances; liability,A,12-31-1946,12-31-2013
99,FL884022005.Q,All domestic sectors; debt securities; asset,Q,12-31-1945,09-30-2014
100,FR365000005.Q,General government (consolidated); net lending (+) or borrowing (-) (financial account),Q,03-31-1952,09-30-2014
101,FU643193085.Q,Equity real estate investment trusts; unidentified miscellaneous liabilities,Q,12-31-1946,09-30-2014
102,FU514004005.A,Property-casualty insurance companies; credit market instruments; asset,A,12-31-1946,12-31-2013
103,FR604122605.A,Other financial intermediaries except insurance companies and pension funds; long-term debt securities; liability,A,12-31-1946,12-31-2013
104,FR105012613.Q,"Nonfinancial corporate business; residential structures, historical cost basis",Q,12-31-1946,09-30-2014
105,FR213081005.A,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",A,12-31-1946,12-31-2013
106,FL318200005.A,Federal government; changes in net worth due to nominal holding gains/losses (IMA),A,12-31-1945,12-31-2013
107,FL213020005.A,"State and local governments, excluding employee retirement funds; checkable deposits and currency; asset",A,12-31-1945,12-31-2013
108,FA544190085.A,"Life insurance companies, separate accounts; total liabilities ",A,12-31-1946,12-31-2013
109,FR263025003.A,Rest of the world; currency; asset,A,12-31-1946,12-31-2013
110,FA713068005.A,Monetary authority; depository institution loans n.e.c.; asset,A,12-31-1946,12-31-2013
111,FR102010005.Q,Nonfinancial corporate business; nonfinancial assets,Q,12-31-1946,09-30-2014
112,FA573074005.A,Private pension funds; pension fund contributions receivable; asset,A,12-31-1946,12-31-2013
113,FU113165405.Q,Nonfinancial noncorporate business; multifamily residential mortgages; liability,Q,12-31-1946,09-30-2014
114,FL343061155.Q,Federal government retirement funds; Treasury securities held by Thrift Savings Plan; asset,Q,12-31-1945,09-30-2014
115,FR363063005.A,General government (consolidated); corporate and foreign bonds; asset,A,12-31-1946,12-31-2013
116,FL713061125.A,"Monetary authority; Other Treasury securities, excluding Treasury bills; asset",A,12-31-1945,12-31-2013
117,FL713061125.Q,"Monetary authority; Other Treasury securities, excluding Treasury bills; asset",Q,12-31-1945,09-30-2014
118,FL643168083.Q,Equity real estate investment trusts; depository institution loans n.e.c.; liability,Q,12-31-1945,09-30-2014
119,FA104041005.Q,Nonfinancial corporate business; short-term loans including security repurchase agreements; asset,Q,12-31-1946,09-30-2014
120,FA213081005.Q,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",Q,12-31-1946,09-30-2014
121,FA213081205.A,"State and local governments, excluding employee retirement funds; Mutual fund and money market fund shares; asset",A,12-31-1946,12-31-2013
122,FA796121073.A,Financial business; net dividends paid,A,12-31-1946,12-31-2013
123,FL143020005.Q,Nonfinancial business; checkable deposits and currency; asset,Q,12-31-1945,09-30-2014
124,FL143030005.A,Nonfinancial business; total time and savings deposits; asset,A,12-31-1945,12-31-2013
125,FR403063005.A,Government-sponsored enterprises; corporate and foreign bonds; asset,A,12-31-1946,12-31-2013
126,FR403063005.Q,Government-sponsored enterprises; corporate and foreign bonds; asset,Q,12-31-1946,09-30-2014
127,FR263168475.Q,Rest of the world; depository institution loans n.e.c. to foreign banks; liability,Q,12-31-1946,09-30-2014
128,FU643193005.Q,Real estate investment trusts; unidentified miscellaneous liabilities,Q,12-31-1946,09-30-2014
129,FR604122005.Q,Other financial intermediaries except insurance companies and pension funds; debt securities; liability ,Q,12-31-1946,09-30-2014
130,FR363065005.Q,General government (consolidated); total mortgages; asset,Q,12-31-1946,09-30-2014
131,FR104150005.A,Nonfinancial corporate business; total short-term liabilities,A,12-31-1946,12-31-2013
132,FR213081205.Q,"State and local governments, excluding employee retirement funds; Mutual fund and money market fund shares; asset",Q,12-31-1946,09-30-2014
133,FA713068543.Q,Monetary authority; depository institution loans n.e.c. to funding corporations (Maiden Lane III LLC); asset,Q,12-31-1946,09-30-2014
134,FA713064103.A,Monetary authority; corporate equities; asset,A,12-31-1946,12-31-2013
135,FA763065005.A,U.S.-chartered depository institutions; total mortgages; asset,A,12-31-1946,12-31-2013
136,FR215000005.A,"State and local governments, excluding employee retirement funds; net lending (+) or borrowing (-) (financial account)",A,12-31-1946,12-31-2013
137,FR403061105.Q,Government-sponsored enterprises; Treasury securities; asset,Q,12-31-1946,09-30-2014
138,FU113165105.A,Nonfinancial noncorporate business; home mortgages; liability,A,12-31-1946,12-31-2013
139,FR153065005.Q,Households and nonprofit organizations; total mortgages; asset,Q,12-31-1946,09-30-2014
140,FA573061143.Q,Private defined benefit pension funds; Treasury securities; asset,Q,12-31-1946,09-30-2014
141,FA365000005.Q,General government (consolidated); net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
142,FU763093005.A,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets",A,12-31-1946,12-31-2013
143,FA513061125.Q,"Property-casualty insurance companies; other Treasury securities, excluding Treasury bills; asset",Q,12-31-1946,09-30-2014
144,FR105013613.A,"Nonfinancial corporate business; nonresidential structures, historical cost basis",A,12-31-1946,12-31-2013
145,FA403062005.Q,Government-sponsored enterprises; municipal securities and loans and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,Q,12-31-1946,09-30-2014
146,FR664190005.Q,Security brokers and dealers; total liabilities ,Q,12-31-1946,09-30-2014
147,FL103190005.Q,Nonfinancial corporate business; total miscellaneous liabilities,Q,12-31-1945,09-30-2014
148,FL754016205.A,"Foreign banking offices in the U.S., including IBFs; deposits at foreign banks; asset",A,12-31-1945,12-31-2013
149,FU364122605.Q,General government (consolidated); long-term debt securities; liability,Q,12-31-1946,09-30-2014
150,FA793168005.Q,Financial business; depository institution loans n.e.c.; liability,Q,12-31-1946,09-30-2014
151,FL603020005.Q,Other financial intermediaries except insurance companies and pension funds; checkable deposits and currency; asset,Q,12-31-1945,09-30-2014
152,FA573064175.A,Private defined contribution pension funds; corporate equities held directly and indirectly through mutual funds; asset,A,12-31-1946,12-31-2013
153,FA793061105.A,Financial business; Treasury securities; asset,A,12-31-1946,12-31-2013
154,FL224090045.A,State and local government employee defined benefit retirement funds; total financial assets,A,12-31-1945,12-31-2013
155,FU643193075.Q,Mortgage real estate investment trusts; unidentified miscellaneous liabilities,Q,12-31-1946,09-30-2014
156,FR604141005.A,Other financial intermediaries except insurance companies and pension funds; short-term loans including security repurchase agreements; liability,A,12-31-1946,12-31-2013
157,FR363064105.A,General government (consolidated); corporate equities; asset,A,12-31-1946,12-31-2013
158,FR144194005.A,Nonfinancial business; total liabilities and equity,A,12-31-1946,12-31-2013
159,FA763093005.A,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets",A,12-31-1946,12-31-2013
160,FL643168073.Q,Mortgage real estate investment trusts; depository institution loans n.e.c.; liability,Q,12-31-1945,09-30-2014
161,FA545013005.A,"Life insurance companies; gross fixed investment, nonresidential structures, equipment, and intellectual property products",A,12-31-1946,12-31-2013
162,FA906000105.A,Instrument discrepancies; gross saving including foreign earnings retained abroad less net capital transfers paid less capital expenditures,A,12-31-1946,12-31-2013
163,FA796121073.Q,Financial business; net dividends paid,Q,12-31-1946,09-30-2014
164,FA763065105.A,"U.S.-chartered depository institutions; home mortgages, including farm houses; asset",A,12-31-1946,12-31-2013
165,FA215012063.A,"State and local governments, excluding employee retirement funds; gross fixed investment, residential structures",A,12-31-1946,12-31-2013
166,FL143030005.Q,Nonfinancial business; total time and savings deposits; asset,Q,12-31-1945,09-30-2014
167,FR403065005.A,Government-sponsored enterprises; total mortgages; asset ,A,12-31-1946,12-31-2013
168,FL105013665.A,"Nonfinancial corporate business; nonresidential structures, current cost basis",A,12-31-1945,12-31-2013
169,FR604122605.Q,Other financial intermediaries except insurance companies and pension funds; long-term debt securities; liability,Q,12-31-1946,09-30-2014
170,FR363064105.Q,General government (consolidated); corporate equities; asset,Q,12-31-1946,09-30-2014
171,FR105012613.A,"Nonfinancial corporate business; residential structures, historical cost basis",A,12-31-1946,12-31-2013
172,FR213081005.Q,"State and local governments, excluding employee retirement funds; equity and investment fund shares; asset (IMA)",Q,12-31-1946,09-30-2014
173,FL643168073.A,Mortgage real estate investment trusts; depository institution loans n.e.c.; liability,A,12-31-1945,12-31-2013
174,FL222050053.Q,State and local government employee defined contribution retirement funds; federal funds and security repurchase agreements; asset,Q,12-31-1945,09-30-2014
175,FA104090005.A,Nonfinancial corporate business; total financial assets,A,12-31-1946,12-31-2013
176,FA104104005.A,Nonfinancial corporate business; credit market instruments; liability,A,12-31-1946,12-31-2013
177,FR263011005.Q,Rest of the world; U.S. official reserve assets,Q,12-31-1946,09-30-2014
178,FR654022405.Q,Mutual funds; short-term debt securities; asset,Q,12-31-1946,09-30-2014
179,FR763092405.Q,U.S.-chartered depository institutions; equity in FHLB; asset,Q,12-31-1946,09-30-2014
180,FR215012063.A,"State and local governments, excluding employee retirement funds; gross fixed investment, residential structures",A,12-31-1947,12-31-1951
181,FL143030205.A,Nonfinancial business; Other deposits including time and savings deposits; asset (IMA),A,12-31-1945,12-31-2013
182,FA153168005.A,Households and nonprofit organizations; depository institution loans n.e.c.; liability ,A,12-31-1946,12-31-2013
183,FL103164103.A,Nonfinancial corporate business; corporate equities; liability,A,12-31-1945,12-31-2013
184,FA106000135.A,"Nonfinancial corporate business; U.S. internal funds, book",A,12-31-1946,12-31-2013
185,FA365000905.A,General government (consolidated); net lending (+) or borrowing (-) (capital account),A,12-31-1946,12-31-2013
186,FU763092605.Q,"U.S.-chartered depository institutions, including IBFs; interbank transactions due from foreign affiliates; asset",Q,12-31-1946,09-30-2014
187,FR105013665.Q,"Nonfinancial corporate business; nonresidential structures, current cost basis",Q,12-31-1946,09-30-2014
188,FA403063005.A,Government-sponsored enterprises; corporate and foreign bonds; asset,A,12-31-1946,12-31-2013
189,FL103192005.A,Nonfinancial corporate business; foreign direct investment in U.S.; liability,A,12-31-1945,12-31-2013
190,FR104102005.A,Nonfinancial corporate business; credit and equity market instruments; liability,A,12-31-1946,12-31-2013
191,FR104104005.A,Nonfinancial corporate business; credit market instruments; liability,A,12-31-1946,12-31-2013
192,FA153169005.A,Households and nonprofit organizations; other loans and advances; liability,A,12-31-1946,12-31-2013
193,FL103164106.A,Nonfinancial corporate business; corporate equities as a percentage of net worth,A,12-31-1945,12-31-2013
194,FU364122605.A,General government (consolidated); long-term debt securities; liability,A,12-31-1946,12-31-2013
195,FU364122615.A,General government (unconsolidated); long-term debt securities; liability,A,12-31-1946,12-31-2013
196,FU155000905.A,Households and nonprofit organizations; net lending (+) or borrowing (-) (capital account),A,12-31-1946,12-31-2013
197,FR163067005.Q,Nonprofit organizations; security credit; asset,Q,12-31-1946,09-30-2014
198,FA153169405.Q,Households and nonprofit organizations; policy loans; liability,Q,12-31-1946,09-30-2014
199,FR523164105.Q,Insurance companies; corporate equities; liability,Q,12-31-1946,09-30-2014
200,FU105050985.A,"Nonfinancial corporate business; capital formation, net (includes equity REITs) (IMA)",A,12-31-1946,12-31-2013
201,FU473127003.Q,Credit unions; checkable deposits; liability,Q,12-31-1946,09-30-2014
202,FL514090005.A,Property-casualty insurance companies; total financial assets ,A,12-31-1945,12-31-2013
203,FL264090005.A,Rest of the world; total financial assets,A,12-31-1945,12-31-2013
204,FA796006305.Q,Financial business; net saving including foreign earnings retained abroad and CCAdj less net capital transfers paid (other than for financial stabilization program),Q,12-31-1946,09-30-2014
205,FL794122005.Q,Financial business; debt securities; liability ,Q,12-31-1945,09-30-2014
206,FL794122605.Q,Financial business; long-term debt securities; liability,Q,12-31-1945,09-30-2014
207,FL793190005.A,Financial business; total miscellaneous liabilities,A,12-31-1945,12-31-2013
208,FA797005045.Q,Financial business; statistical discrepancy (IMA),Q,12-31-1946,09-30-2014
209,FU103152025.A,Nonfinancial corporate business; retirement entitlements; liability (IMA),A,12-31-1946,12-31-2013
210,FL152000005.Q,Households and nonprofit organizations; total assets,Q,12-31-1945,09-30-2014
211,FR663190005.Q,Security brokers and dealers; total miscellaneous liabilities,Q,12-31-1946,09-30-2014
212,FU904010005.A,Instrument discrepancies; net interbank transactions,A,12-31-1946,12-31-2013
213,FL112000005.A,Nonfinancial noncorporate business; total assets ,A,12-31-1945,12-31-2013
214,FL112000005.Q,Nonfinancial noncorporate business; total assets ,Q,12-31-1945,09-30-2014
215,FL543062073.A,"Life insurance companies, general accounts; municipal securities and loans; asset",A,12-31-1945,12-31-2013
216,FL513069103.A,Property-casualty insurance companies; commercial paper; asset,A,12-31-1945,12-31-2013
217,FL753192605.A,"Foreign banking offices in the U.S., including IBFs; interbank transactions due to foreign affiliates; liability",A,12-31-1945,12-31-2013
218,FL223095505.Q,State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset,Q,12-31-1945,09-30-2014
219,FA403065105.A,Government-sponsored enterprises; home mortgages; asset,A,12-31-1946,12-31-2013
220,FR613065403.A,Finance companies; multifamily residential mortgages; asset,A,12-31-1946,12-31-2013
221,FL263191103.A,Rest of the world; nonofficial U.S. currencies; liability,A,12-31-1945,12-31-2013
222,FA384190005.Q,Domestic nonfinancial sectors; total liabilities ,Q,12-31-1946,09-30-2014
223,FA593064105.Q,Pension funds; corporate equities; asset,Q,12-31-1946,09-30-2014
224,FR104004005.Q,Nonfinancial corporate business; credit market instruments; asset,Q,12-31-1946,09-30-2014
225,FR213065005.Q,"State and local governments, excluding employee retirement funds; total mortgages; asset",Q,12-31-1946,09-30-2014
226,FR263191005.A,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",A,12-31-1946,12-31-2013
227,FR403061105.A,Government-sponsored enterprises; Treasury securities; asset,A,12-31-1946,12-31-2013
228,FA573074005.Q,Private pension funds; pension fund contributions receivable; asset,Q,12-31-1946,09-30-2014
229,FL343061155.A,Federal government retirement funds; Treasury securities held by Thrift Savings Plan; asset,A,12-31-1945,12-31-2013
230,FL883196205.Q,All domestic sectors; trade credits and advances; liability (IMA),Q,12-31-1945,09-30-2014
231,FR153065005.A,Households and nonprofit organizations; total mortgages; asset,A,12-31-1946,12-31-2013
232,FR153065103.A,Households and nonprofit organizations; home mortgages; asset,A,12-31-1946,12-31-2013
233,FA573061143.A,Private defined benefit pension funds; Treasury securities; asset,A,12-31-1946,12-31-2013
234,FR793065005.Q,Financial business; total mortgages; asset,Q,12-31-1946,09-30-2014
235,FR263191103.A,Rest of the world; nonofficial U.S. currencies; liability,A,12-31-1946,12-31-2013
236,FA793093005.Q,Financial business; unidentified miscellaneous assets,Q,12-31-1946,09-30-2014
237,FL105015205.Q,"Nonfinancial corporate business; equipment, current cost basis ",Q,12-31-1945,09-30-2014
238,FA364022605.A,General government (consolidated); long-term debt securities; asset,A,12-31-1946,12-31-2013
239,FR584194005.Q,Insurance companies and pension funds; total liabilities and equity,Q,12-31-1946,09-30-2014
240,FR103169535.Q,Nonfinancial corporate business; finance companies loans; liability,Q,12-31-1946,09-30-2014
241,FL503064105.Q,Funding corporations; corporate equities; asset,Q,12-31-1945,09-30-2014
242,FR793064205.Q,Financial business; mutual fund shares; asset,Q,12-31-1946,09-30-2014
243,FL262090095.Q,Rest of the world; net worth (IMA),Q,12-31-1945,09-30-2014
244,FL144000005.Q,Nonfinancial business; total currency and deposits; asset,Q,12-31-1945,09-30-2014
245,FL893070005.A,All sectors; trade receivables; asset,A,12-31-1945,12-31-2013
246,FL893091005.Q,All sectors; private foreign deposits; asset,Q,12-31-1945,09-30-2014
247,FL105013765.Q,"Nonfinancial corporate business; nonresidential intellectual property products, current cost basis",Q,12-31-1945,09-30-2014
248,FL763135005.A,"U.S.-chartered depository institutions, including IBFs; large time deposits; liability",A,12-31-1945,12-31-2013
249,FR383165105.A,Domestic nonfinancial sectors; home mortgages; liability,A,12-31-1946,12-31-2013
250,FL113093005.Q,Nonfinancial noncorporate business; unidentified miscellaneous assets,Q,12-31-1945,09-30-2014
251,FL503069805.A,Funding corporations; syndicated loans to nonfinancial corporate business; asset,A,12-31-1945,12-31-2013
252,FR103169205.Q,"Nonfinancial corporate business; U.S. government loans, including loans to automakers; liability",Q,12-31-1946,09-30-2014
253,FU663020003.A,Security brokers and dealers; checkable deposits and currency; asset,A,12-31-1946,12-31-2013
254,FL573069143.A,Private defined benefit pension funds; commercial paper; asset,A,12-31-1945,12-31-2013
255,FL885000005.A,All domestic sectors; net lending (+) or borrowing (-) (financial account),A,12-31-1945,12-31-2013
256,FA163093005.A,Nonprofit organizations; unidentified miscellaneous assets,A,12-31-1988,12-31-2000
257,FL144022605.Q,Nonfinancial business; long-term debt securities; asset,Q,12-31-1945,09-30-2014
258,FR593065005.A,Pension funds; total mortgages; asset,A,12-31-1946,12-31-2013
259,FR593065005.Q,Pension funds; total mortgages; asset,Q,12-31-1946,09-30-2014
260,FL763129205.A,U.S.-chartered depository institutions; checkable deposits due to private domestic sectors; liability,A,12-31-1945,12-31-2013
261,FR584090005.A,Insurance companies and pension funds; total financial assets ,A,12-31-1946,12-31-2013
262,FR775000005.A,Captive financial institutions and money lenders; net lending (+) or borrowing (-) (financial account),A,12-31-1946,12-31-2013
263,FR775000005.Q,Captive financial institutions and money lenders; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
264,FU907005005.A,Instrument discrepancies; total discrepancy,A,12-31-1946,12-31-2013
