country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Lesotho,LSO,35,0.09486,0.1394,0.04065,0.14686,0.08056
Libya,LBY,16,0.08706,0.15902,-0.00722,0.06773,0.06959
"Macedonia, FYR",MKD,21,0.03667,0.13009,0.02589,0.19605,0.00355
Malaysia,MYS,46,0.04111,0.12442,0.06369,0.08353,0.00149
Maldives,MDV,20,0.07936,0.18512,0.05643,0.12404,0.01418
Mauritania,MRT,12,0.10605,0.116,0.01665,0.17498,0.05407
Mauritius,MUS,35,0.06591,0.13245,0.04936,0.15126,0.0415
Mexico,MEX,22,0.09561,0.15323,0.02402,0.13085,0.07153
"Micronesia, Fed. Sts.",FSM,20,0.0212,0.04488,-0.00175,0.15236,0.0
Moldova,MDA,20,0.13849,0.20792,0.02996,0.20983,0.06175
Mongolia,MNG,22,0.1687,0.27901,0.06424,0.5395,0.09045
Montenegro,MNE,10,0.04577,0.1517,0.02723,0.09179,-0.00727
Morocco,MAR,14,0.08117,0.13161,0.04837,0.09906,0.05833
Myanmar,MMR,16,0.10024,0.1305,0.02939,0.12061,-0.00043
Namibia,NAM,24,0.08494,0.17961,0.04198,0.13736,0.06127
Nepal,NPL,16,0.08712,0.17096,0.0393,0.1217,0.06764
Nicaragua,NIC,27,0.75024,0.7198,0.03217,38.41699,0.65406
Nigeria,NGA,45,0.1901,0.23465,0.03605,0.15345,0.13064
Pakistan,PAK,11,0.11668,0.16867,0.03998,0.11259,0.05667
Panama,PAN,15,0.01119,0.0711,0.03175,0.09621,0.0
Papua New Guinea,PNG,35,0.07213,0.13148,0.03416,0.12203,0.03897
Paraguay,PRY,25,0.10809,0.18235,0.03223,0.28134,0.05517
Peru,PER,29,0.61975,0.68568,0.03405,2.62707,0.54737
Philippines,PHL,39,0.08915,0.14894,0.03625,0.12948,0.04813
Romania,ROU,22,0.28099,0.34672,0.02947,0.30725,0.19754
Russian Federation,RUS,20,0.19346,0.27593,0.03498,0.33091,0.11865
Samoa,WSM,14,0.0325,0.09523,0.01665,0.10635,-0.03029
Sao Tome and Principe,STP,15,0.04184,0.27255,0.05094,0.32058,0.06178
Senegal,SEN,16,0.05047,0.04702,0.01929,0.10244,0.00498
Serbia,SRB,18,0.18505,0.2988,0.02899,0.12676,0.17247
Solomon Islands,SLB,25,0.07271,0.16753,0.03133,0.12575,0.04561
South Africa,ZAF,50,0.10298,0.1346,0.02793,0.12681,0.0571
Sri Lanka,LKA,37,0.10827,0.13767,0.05103,0.14126,0.06077
St. Lucia,LCA,37,0.04076,0.09612,0.03485,0.11085,0.0
St. Vincent and the Grenadines,VCT,38,0.03937,0.0981,0.0347,0.10449,0.0
Suriname,SUR,25,0.37911,0.37489,0.02903,0.17874,0.36811
Swaziland,SWZ,41,0.09588,0.14823,0.04932,0.12839,0.07173
Tajikistan,TJK,17,0.17674,0.32807,0.07638,0.19992,0.12255
Thailand,THA,39,0.04296,0.10079,0.05526,0.09711,0.01231
Timor-Leste,TLS,13,0.05008,0.20221,0.04599,0.13961,0.0
Tonga,TON,26,0.05618,0.10019,0.01724,0.10711,0.01529
Tunisia,TUN,12,0.08942,0.12542,0.03787,0.08326,0.07785
Ukraine,UKR,22,0.39952,0.41793,-0.00395,0.45367,0.3037
Vanuatu,VUT,34,0.03407,0.09859,0.03405,0.1027,0.00304
Zambia,ZMB,21,0.28275,0.26726,0.01204,0.24744,-0.11319
Zimbabwe,ZWE,29,-0.0046,-0.14583,0.01269,0.92561,0.55739
