country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Estonia,EST,18,0.09956,0.20994,0.04023,0.1066,-0.00664
Ethiopia,ETH,24,0.06266,0.1337,0.05117,0.09024,0.06898
Fiji,FJI,23,0.04104,0.11972,0.02284,0.08358,0.0104
Gabon,GAB,29,0.06456,0.07567,0.01703,0.16037,0.02939
"Gambia, The",GMB,37,0.11492,0.15469,0.02954,0.25152,0.08679
Georgia,GEO,19,0.06227,0.20378,0.057,0.21137,0.0188
Ghana,GHA,11,0.46285,0.40305,0.01106,0.20545,0.60683
Grenada,GRD,37,0.03477,0.08072,0.03113,0.10307,0.0
Guatemala,GTM,37,0.09496,0.14786,0.02957,0.15737,0.05846
Guinea-Bissau,GNB,11,0.57313,0.55345,0.04684,0.20977,0.03978
Guyana,GUY,41,0.15867,0.19528,0.01536,0.15359,0.1199
Haiti,HTI,21,0.11077,0.15667,0.02044,0.23293,0.05658
Honduras,HND,33,0.08865,0.14763,0.03709,0.20518,0.07623
"Hong Kong SAR, China",HKG,24,0.01452,0.10295,0.03778,0.06676,-0.0001
Hungary,HUN,24,0.09623,0.13269,0.0184,0.14213,0.0506
Iceland,ISL,37,0.14074,0.21293,0.0275,0.18764,0.11018
India,IND,37,0.07856,0.14566,0.05666,0.13464,0.05737
Indonesia,IDN,29,0.12416,0.17906,0.04971,0.17431,0.0827
Iraq,IRQ,11,0.10801,0.19514,0.06304,0.14559,-0.02179
Israel,ISR,36,0.27681,0.38534,0.04022,0.63635,0.23016
Jamaica,JAM,39,0.16844,0.20048,0.01147,0.22606,0.13477
Japan,JPN,54,0.02661,0.09932,0.03634,0.04957,-0.02281
Jordan,JOR,25,0.04308,0.08063,0.05225,0.09726,0.00281
Kenya,KEN,44,0.10421,0.15306,0.04251,0.16642,0.06012
"Korea, Rep.",KOR,35,0.04385,0.15966,0.06588,0.08285,0.01631
Kosovo,KSV,11,0.02864,0.14713,0.03909,0.12,-0.00656
Kuwait,KWT,23,0.04351,0.10492,0.05297,0.07148,-0.00136
Kyrgyz Republic,KGZ,19,0.11969,0.1914,0.04577,0.31867,0.08283
Latvia,LVA,21,0.04443,0.15972,0.06185,0.16212,-0.0121
Lebanon,LBN,10,0.28932,0.29927,0.06857,0.18256,0.1586
Lesotho,LSO,35,0.09486,0.1394,0.04065,0.14686,0.08056
Liberia,LBR,10,0.04191,0.14543,-0.04908,0.16133,0.0
Libya,LBY,16,0.08706,0.15902,-0.00722,0.06773,0.06959
Lithuania,LTU,18,0.06826,0.17514,0.05265,0.18086,-0.0296
"Macao SAR, China",MAC,29,0.05676,0.14523,0.07587,0.0723,-0.00012
"Macedonia, FYR",MKD,21,0.03667,0.13009,0.02589,0.19605,0.00355
Madagascar,MDG,26,0.13088,0.14965,0.02249,0.37786,0.08411
Malawi,MWI,36,0.21447,0.25644,0.03477,0.31558,0.19565
Malaysia,MYS,46,0.04111,0.12442,0.06369,0.08353,0.00149
Maldives,MDV,20,0.07936,0.18512,0.05643,0.12404,0.01418
Mali,MLI,16,0.04762,0.06748,0.02487,0.10299,0.00498
Malta,MLT,33,0.03176,0.13255,0.05142,0.07036,-0.00656
Mauritania,MRT,12,0.10605,0.116,0.01665,0.17498,0.05407
Mauritius,MUS,35,0.06591,0.13245,0.04936,0.15126,0.0415
Mexico,MEX,22,0.09561,0.15323,0.02402,0.13085,0.07153
"Micronesia, Fed. Sts.",FSM,20,0.0212,0.04488,-0.00175,0.15236,0.0
Moldova,MDA,20,0.13849,0.20792,0.02996,0.20983,0.06175
Mongolia,MNG,22,0.1687,0.27901,0.06424,0.5395,0.09045
Montenegro,MNE,10,0.04577,0.1517,0.02723,0.09179,-0.00727
Morocco,MAR,14,0.08117,0.13161,0.04837,0.09906,0.05833
Mozambique,MOZ,18,0.06056,0.23675,0.07753,0.20385,0.06054
Myanmar,MMR,16,0.10024,0.1305,0.02939,0.12061,-0.00043
Namibia,NAM,24,0.08494,0.17961,0.04198,0.13736,0.06127
Nepal,NPL,16,0.08712,0.17096,0.0393,0.1217,0.06764
New Zealand,NZL,13,0.02574,0.09441,0.02867,0.06898,-0.02447
Nicaragua,NIC,27,0.75024,0.7198,0.03217,38.41699,0.65406
Niger,NER,16,0.03747,0.0544,0.00799,0.10373,0.00498
Nigeria,NGA,45,0.1901,0.23465,0.03605,0.15345,0.13064
Norway,NOR,28,0.04995,0.12282,0.02979,0.10278,0.00879
Oman,OMN,31,0.03798,0.10261,0.04106,0.08216,0.00358
Pakistan,PAK,11,0.11668,0.16867,0.03998,0.11259,0.05667
Panama,PAN,15,0.01119,0.0711,0.03175,0.09621,0.0
Papua New Guinea,PNG,35,0.07213,0.13148,0.03416,0.12203,0.03897
Paraguay,PRY,25,0.10809,0.18235,0.03223,0.28134,0.05517
Peru,PER,29,0.61975,0.68568,0.03405,2.62707,0.54737
Philippines,PHL,39,0.08915,0.14894,0.03625,0.12948,0.04813
Poland,POL,25,0.10757,0.18945,0.0365,0.35927,0.05128
Romania,ROU,22,0.28099,0.34672,0.02947,0.30725,0.19754
Russian Federation,RUS,20,0.19346,0.27593,0.03498,0.33091,0.11865
Rwanda,RWA,16,0.06248,0.07057,0.02334,0.1549,0.03234
Samoa,WSM,14,0.0325,0.09523,0.01665,0.10635,-0.03029
Sao Tome and Principe,STP,15,0.04184,0.27255,0.05094,0.32058,0.06178
Senegal,SEN,16,0.05047,0.04702,0.01929,0.10244,0.00498
Serbia,SRB,18,0.18505,0.2988,0.02899,0.12676,0.17247
Seychelles,SYC,26,0.05859,0.16662,0.03557,0.12851,0.03311
Sierra Leone,SLE,50,0.22825,0.27336,0.02721,0.20741,0.1956
Singapore,SGP,37,0.0199,0.10156,0.06807,0.06551,-0.01611
Slovak Republic,SVK,16,0.05539,0.10839,0.05288,0.11844,-0.02404
Slovenia,SVN,16,0.18378,0.3438,0.03363,0.51236,0.13774
Solomon Islands,SLB,25,0.07271,0.16753,0.03133,0.12575,0.04561
South Africa,ZAF,50,0.10298,0.1346,0.02793,0.12681,0.0571
Sri Lanka,LKA,37,0.10827,0.13767,0.05103,0.14126,0.06077
St. Kitts and Nevis,KNA,35,0.03855,0.16084,0.03923,0.10176,0.0
St. Lucia,LCA,37,0.04076,0.09612,0.03485,0.11085,0.0
St. Vincent and the Grenadines,VCT,38,0.03937,0.0981,0.0347,0.10449,0.0
Suriname,SUR,25,0.37911,0.37489,0.02903,0.17874,0.36811
Swaziland,SWZ,41,0.09588,0.14823,0.04932,0.12839,0.07173
Sweden,SWE,20,0.08562,0.13492,0.02147,0.10846,0.01165
Switzerland,CHE,34,0.01638,0.0645,0.01755,0.0433,-0.02285
Syrian Arab Republic,SYR,30,0.10616,0.14878,0.04247,0.08983,0.0369
Tajikistan,TJK,17,0.17674,0.32807,0.07638,0.19992,0.12255
Thailand,THA,39,0.04296,0.10079,0.05526,0.09711,0.01231
Timor-Leste,TLS,13,0.05008,0.20221,0.04599,0.13961,0.0
Togo,TGO,16,0.04136,0.03039,0.01646,0.10391,0.00498
Tonga,TON,26,0.05618,0.10019,0.01724,0.10711,0.01529
Trinidad and Tobago,TTO,36,0.0515,0.11246,0.02947,0.11895,0.02846
Tunisia,TUN,12,0.08942,0.12542,0.03787,0.08326,0.07785
Uganda,UGA,11,0.83921,0.92587,0.03593,0.23289,1.03292
Ukraine,UKR,22,0.39952,0.41793,-0.00395,0.45367,0.3037
United States,USA,54,0.03506,0.05753,0.03086,0.07193,0.0
Uruguay,URY,39,0.32279,0.37847,0.02603,0.61202,0.26255
Vanuatu,VUT,34,0.03407,0.09859,0.03405,0.1027,0.00304
"Venezuela, RB",VEN,30,0.30999,0.38299,0.02633,0.2478,0.26248
"Yemen, Rep.",YEM,18,0.11833,0.1225,0.03344,0.20713,0.04974
Zambia,ZMB,21,0.28275,0.26726,0.01204,0.24744,-0.11319
Zimbabwe,ZWE,29,-0.0046,-0.14583,0.01269,0.92561,0.55739
